id,Distance to transit,Number of rooms,Year of construction,Material,Sales price
1,2.804398326878453,5,1988,Gingerbread,2325.982605830672
2,3.520684694042397,4,1982,Wood,1924.2256146512054
3,2.797451320944255,6,1980,Wood,1450.4680567292605
4,2.834209211069028,6,1989,Gingerbread,1823.8992489632421
5,2.884916802545525,7,2002,Wood,2563.6804842279103
6,3.310545973888355,7,2002,Wood,4187.867803719874
7,2.770101765307349,5,1990,Wood,2016.3903764075853
8,2.829247100101905,8,1992,Stucco,2225.1568973461062
9,3.1565939126020792,1,2002,Wood,2354.919352765069
10,2.446226543026769,6,2003,Wood,2011.0479884475578
11,2.506089615217729,5,1994,Wood,3299.723326814216
12,2.6691679658618264,7,1997,Wood,2212.7170831904173
13,3.4636752292211583,8,1982,Concrete,2748.126007272911
14,3.642019849875752,6,2001,Wood,3079.8044766474077
15,2.899985898910056,7,2009,Wood,4148.824621842161
16,2.069367001718202,4,1999,Brick,1940.959137374842
17,2.2393383056456933,6,1989,Gingerbread,3274.5708207661105
18,1.7022896585508223,4,1982,Wood,2329.5602469944442
19,2.7517698116522356,7,1979,Wood,2624.867396457174
20,2.8163674577001823,7,1987,Concrete,2902.8081962233828
21,3.355983613176726,5,1989,Stucco,2202.5579701471797
22,3.4737222776382883,6,1973,Gingerbread,3508.3151719010657
23,2.9346058626945655,9,1992,Wood,2246.637497548677
24,3.679719305483074,6,1969,Wood,2486.028258755909
25,2.653569200818906,6,1989,Gingerbread,2336.831722534488
26,1.685219226270957,6,1978,Gingerbread,1786.4859925314474
27,3.5246953766478666,5,1982,Wood,2613.5295293956306
28,2.4137616025044375,4,1994,Wood,4207.2490544336315
29,2.7003365211720998,7,1989,Gingerbread,1847.817093756658
30,2.855829229551818,5,1994,Wood,2133.198828824842
31,3.0498927413459547,5,1993,Wood,2436.034052315431
32,1.1950533023157788,7,1983,Wood,1747.6353932850973
33,3.57238709272031,6,1997,Wood,2184.3805622906248
34,2.4609378150126644,5,1990,Stucco,2163.191407741138
35,2.3686614390386906,5,1989,Wood,2197.211403860097
36,2.4609996643134897,5,1985,Wood,1598.0825115130224
37,2.037018540417467,6,1983,Brick,773.9593735373614
38,2.8030648149344954,8,2001,Wood,3883.217305802562
39,2.4715111987282623,7,1977,Stucco,2264.3719929366744
40,2.6850640081652304,6,1994,Wood,1931.2689587924622
41,2.6005570712395785,6,1998,Stucco,2861.684308973414
42,2.535638049149699,5,1994,Wood,1948.2936431028445
43,4.22901573165372,6,2013,Wood,2752.3786487495245
44,3.2130616564329912,5,1978,Wood,1756.2035112809322
45,2.403044102273208,6,2004,Wood,2261.0847715814357
46,3.270790134759373,4,2003,Wood,2021.8817156812809
47,3.075652167990259,4,2007,Wood,2296.9015202328706
48,3.5556045505618843,7,1987,Wood,2326.3714806583453
49,2.8943105173203847,6,1998,Wood,1616.262944361903
50,3.2383826126151876,8,1999,Wood,1987.0976896421853
51,2.8042531540679523,6,1979,Wood,4119.377124376895
52,2.8750955291966496,5,1973,Gingerbread,2585.665743725994
53,3.309273538535451,6,1988,Wood,1935.3577562700948
54,1.442942221237887,3,1976,Wood,1730.242241342381
55,2.569278683450185,7,2003,Wood,2113.113274287054
56,3.263485860393433,4,2023,Wood,2745.6313796548166
57,2.446580434952236,7,1990,Wood,1981.1837891735113
58,2.851113340415917,6,1995,Wood,2249.932030437416
59,3.453411434489367,7,1984,Wood,1866.4407605976908
60,2.6468345964395272,6,1991,Wood,2876.668526301539
61,3.8556895052844786,5,1983,Gingerbread,4176.867077531044
62,1.1141154298138487,5,1986,Wood,920.3473133238068
63,2.278869246655811,6,1999,Stucco,2014.4111457761474
